citation_id	manuscript_topic	recommended_use	citation_type	status	candidate_reference_note	example_marker
REF_CONVERGENCE_01	convergent evolution and repeated use of genetic/regulatory mechanisms	Results toolkit model; Discussion mechanism paragraph	evolutionary_theory	placeholder_needs_final_reference	Use major reviews on molecular convergence, repeated evolution, genetic basis of convergent traits.	[REF_CONVERGENCE_01]
REF_REGULATORY_REDEPLOYMENT_01	regulatory redeployment and modular gene networks	Results toolkit model; Discussion mechanism paragraph	evolutionary_development	placeholder_needs_final_reference	Use evo-devo / cis-regulatory evolution / network redeployment references.	[REF_REGULATORY_REDEPLOYMENT_01]
REF_COMPARATIVE_GENOMICS_01	orthogroup-based comparative genomics and candidate transfer	Introduction paragraph 3; Methods orthogroup section	comparative_genomics	placeholder_needs_final_reference	Use comparative genomics and orthology inference references.	[REF_COMPARATIVE_GENOMICS_01]
REF_ORTHOFINDER_01	orthogroup inference	Methods orthogroup-based candidate transfer	software_method	candidate_reference_available	Emms and Kelly 2019 Genome Biology, OrthoFinder.	[REF_ORTHOFINDER_01]
REF_BUSCO_01	BUSCO completeness and phylogenetic marker framework	Methods BUSCO phylogenetic context	software_method	candidate_reference_available	Manni et al. 2021 Molecular Biology and Evolution, BUSCO update.	[REF_BUSCO_01]
REF_IQTREE_01	maximum-likelihood phylogenetic inference	Methods BUSCO phylogenetic context	software_method	candidate_reference_available	Minh et al. 2020 Molecular Biology and Evolution, IQ-TREE 2.	[REF_IQTREE_01]
REF_MODELFINDER_01	model selection for phylogenetic inference	Methods BUSCO phylogenetic context if ModelFinder used	software_method	candidate_reference_available	Kalyaanamoorthy et al. 2017 Nature Methods, ModelFinder.	[REF_MODELFINDER_01]
REF_UFBOOT_01	ultrafast bootstrap branch support	Methods BUSCO phylogenetic context if UFBoot used	software_method	candidate_reference_available	Hoang et al. 2018 Molecular Biology and Evolution, UFBoot2.	[REF_UFBOOT_01]
REF_MAFFT_01	multiple sequence alignment	Methods BUSCO alignment if MAFFT used	software_method	candidate_reference_available	Katoh and Standley 2013 Molecular Biology and Evolution, MAFFT.	[REF_MAFFT_01]
REF_TRIMAL_01	alignment trimming	Methods BUSCO alignment if trimAl used	software_method	candidate_reference_available	Capella-Gutierrez et al. 2009 Bioinformatics, trimAl.	[REF_TRIMAL_01]
REF_DIAMOND_01	fast protein alignment / similarity search	Methods sequence workflow if DIAMOND used	software_method	candidate_reference_available	Buchfink et al. 2021 Nature Methods, DIAMOND v2.	[REF_DIAMOND_01]
REF_DATA_SOURCES_01	public datasets and genome/transcriptome resources	Methods species atlas; Data availability	dataset_reference	placeholder_needs_final_reference	Replace with exact citations or accession references for each public dataset, genome, transcriptome, or BioProject used.	[REF_DATA_SOURCES_01]
REF_UGO_REPOSITORY_01	UGO-Omics repository and Zenodo archive	Data availability	resource_reference	placeholder_waiting_for_final_zenodo	Replace with GitHub URL and Zenodo DOI after final release archive is deposited.	[REF_UGO_REPOSITORY_01]
