organ_key	organ_label	candidate_function	orthogroup	benchmark_module	ugo_score	recommendation_score	matched_terms	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
rhizome	Rhizome	Carotenoid cleavage dioxygenase / hormone-related regulation	OG0006937	Hormone_regulation	1.0	1.2	broad high-confidence candidate	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
rhizome	Rhizome	MYB-like transcriptional regulator	OG0000139	Developmental_TF	1.0	1.009	broad high-confidence candidate	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
root_crown	Root crown	Early nodulin-like meristem/regrowth candidate	OG0000863	Meristem_bud_regrowth	1.0	1.44	bud; meristem; regrowth	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
root_crown	Root crown	Non-symbiotic hemoglobin / stress-resilience candidate	OG0004958	Stress_resilience	1.0	1.36	hemoglobin; stress	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
root_crown	Root crown	NAC-like transcriptional regulator	OG0003725	Developmental_TF	1.0	1.271	nac	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
root_crown	Root crown	Carotenoid cleavage dioxygenase / hormone-related regulation	OG0006937	Hormone_regulation	1.0	1.2	broad high-confidence candidate	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
root_crown	Root crown	XTH / xyloglucan cell-wall remodeling	OG0000154	Cell_wall_remodeling	1.0	1.136	broad high-confidence candidate	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
root_crown	Root crown	MYB-like transcriptional regulator	OG0000139	Developmental_TF	1.0	1.009	broad high-confidence candidate	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
stolon	Stolon	Early nodulin-like meristem/regrowth candidate	OG0000863	Meristem_bud_regrowth	1.0	1.36	meristem; regrowth	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
stolon	Stolon	Carotenoid cleavage dioxygenase / hormone-related regulation	OG0006937	Hormone_regulation	1.0	1.28	hormone	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
stolon	Stolon	XTH / xyloglucan cell-wall remodeling	OG0000154	Cell_wall_remodeling	1.0	1.216	cell-wall	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
stolon	Stolon	Non-symbiotic hemoglobin / stress-resilience candidate	OG0004958	Stress_resilience	1.0	1.2	broad high-confidence candidate	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
stolon	Stolon	NAC-like transcriptional regulator	OG0003725	Developmental_TF	1.0	1.191	broad high-confidence candidate	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
stolon	Stolon	MYB-like transcriptional regulator	OG0000139	Developmental_TF	1.0	1.009	broad high-confidence candidate	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
storage_root	Storage root	Carotenoid cleavage dioxygenase / hormone-related regulation	OG0006937	Hormone_regulation	1.0	1.28	hormone	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
storage_root	Storage root	Early nodulin-like meristem/regrowth candidate	OG0000863	Meristem_bud_regrowth	1.0	1.28	meristem	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
storage_root	Storage root	Non-symbiotic hemoglobin / stress-resilience candidate	OG0004958	Stress_resilience	1.0	1.28	stress	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
storage_root	Storage root	XTH / xyloglucan cell-wall remodeling	OG0000154	Cell_wall_remodeling	1.0	1.216	cell-wall	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
storage_root	Storage root	NAC-like transcriptional regulator	OG0003725	Developmental_TF	1.0	1.191	broad high-confidence candidate	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
storage_root	Storage root	MYB-like transcriptional regulator	OG0000139	Developmental_TF	1.0	1.009	broad high-confidence candidate	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
tuber	Tuber	Carotenoid cleavage dioxygenase / hormone-related regulation	OG0006937	Hormone_regulation	1.0	1.28	hormone	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
tuber	Tuber	Early nodulin-like meristem/regrowth candidate	OG0000863	Meristem_bud_regrowth	1.0	1.28	meristem	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
tuber	Tuber	XTH / xyloglucan cell-wall remodeling	OG0000154	Cell_wall_remodeling	1.0	1.216	cell-wall	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
tuber	Tuber	Non-symbiotic hemoglobin / stress-resilience candidate	OG0004958	Stress_resilience	1.0	1.2	broad high-confidence candidate	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
tuber	Tuber	NAC-like transcriptional regulator	OG0003725	Developmental_TF	1.0	1.191	broad high-confidence candidate	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
tuber	Tuber	MYB-like transcriptional regulator	OG0000139	Developmental_TF	1.0	1.009	broad high-confidence candidate	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
